id,budget,original_language,genres,popularity,release_date,runtime,title,revenue
189,180000000,en,Family,16.088366,6/22/2008,98,WALL·E,521311860
190,0,en,Comedy,12.017861,3/14/2014,111,The Single Moms Club,16337881
191,4000000,en,Science Fiction,5.263187,3/8/1996,86,Hellraiser: Bloodline,16675000
192,40000000,en,Drama,7.271503,5/17/2012,110,What to Expect When You're Expecting,79700000
193,0,en,Comedy,6.395748,7/1/2016,91,Absolutely Fabulous: The Movie,37915971
194,0,en,Thriller,13.762328,9/7/1983,90,Revenge of the Ninja,13168027
195,4500000,en,Drama,3.311392,10/10/2009,97,Life During Wartime,744816
196,0,fa,Drama,1.165679,10/1/2008,96,The Song of Sparrows,115605
197,7000000,en,Horror,0.861473,12/2/1988,87,Cameron's Closet,136203
198,60000000,en,Crime,12.915358,4/19/2006,108,The Sentinel,77920346
199,24000000,en,Drama,3.69298,4/7/2000,107,Ready to Rumble,12372410
200,12600000,en,Crime,11.695036,9/12/2014,106,The Drop,19054534
201,85000000,en,Fantasy,10.254314,12/15/2006,97,Charlotte's Web,144000000
202,10000000,en,Science Fiction,11.509677,9/8/1988,100,Earth Girls Are Easy,3916303
203,55000000,en,Family,7.713231,10/30/2013,91,Free Birds,110000000
204,75000000,en,Family,14.302911,7/25/2007,87,The Simpsons Movie,527068851
205,3200000,en,Romance,6.174699,11/15/1985,94,Once Bitten,10000000
206,2000000,en,Thriller,5.396271,9/17/2015,97,Captive,2801508
207,0,en,Thriller,3.14325,5/8/1992,105,One False Move,1543112
208,15000000,en,Fantasy,7.024227,6/30/1995,92,Mighty Morphin Power Rangers: The Movie,66000000
209,0,en,Science Fiction,8.096719,4/22/1994,96,Brainscan,4352094
210,100000000,en,Adventure,8.140709,3/5/2004,136,Hidalgo,108103450
211,22000000,en,Comedy,7.145784,12/25/1997,105,An American Werewolf in Paris,26570463
212,7000000,en,Adventure,19.726114,6/18/1975,124,Jaws,470654000
213,0,en,Family,2.011108,8/27/1993,95,Father Hood,3418141
214,6700000,hi,Action,1.312833,6/1/2012,143,Rowdy Rathore,31000000
215,20000000,en,Drama,13.132127,9/1/2012,105,The Iceman,1969193
216,35000000,en,Crime,7.321172,2/7/2013,111,Identity Thief,173965010
217,35000000,ja,Family,6.493765,8/8/2014,90,Stand by Me Doraemon,83061158
218,10000000,en,Comedy,11.341505,6/25/1981,106,Stripes,85300000
219,0,sv,Comedy,2.972928,8/22/1980,107,Sällskapsresan - eller finns det svenskt kaffe på grisfesten?,5010362
220,2600000,en,Documentary,2.203949,7/9/2004,105,Riding Giants,3166000
221,12000000,zh,War,7.216103,4/22/2009,132,City of Life and Death,10652498
222,0,en,Romance,8.358541,11/13/1992,97,Love Potion No. 9,754935
223,5000000,en,Romance,1.608163,6/4/2010,98,Meet Monica Velour,31649
224,49000000,en,Mystery,16.628427,3/20/1992,127,Basic Instinct,352927224
225,0,en,Comedy,0.410738,5/1/2016,53,Gary Gulman: It's About Time,500
226,0,en,History,11.478361,3/22/2003,110,Ned Kelly,6585516
227,50000000,en,Crime,7.668829,2/24/2011,105,Drive Angry,28931401
228,7500000,en,Romance,8.593196,10/29/2009,100,An Education,26096852
229,6244087,en,Western,11.722424,6/17/1969,145,The Wild Bunch,638641
230,14000000,en,Romance,1.596058,3/31/1995,139,Jefferson in Paris,2474000
231,110000000,en,Comedy,7.825072,6/16/2004,120,Around the World in 80 Days,72178895
232,800000,en,Romance,0.941994,10/8/1993,114,Ruby in Paradise,1001437
233,0,en,Drama,3.74133,10/4/2013,93,Le Week-End,2225098
234,0,en,Documentary,0.492745,2/4/2009,101,Sweetgrass,206728
235,30000000,en,History,21.791111,10/15/2016,140,The Lost City of Z,8574339
236,0,en,Family,6.183051,2/9/2007,94,The Last Mimzy,27297451
237,15000000,en,Comedy,3.450402,8/16/1996,87,Bordello of Blood,5600000
238,0,es,Comedy,0.619347,9/14/1978,95,The National Shotgun,1622164
239,22000000,en,Romance,11.945397,7/12/1990,127,Ghost,505000000
240,20000000,en,Music,5.270187,12/13/2002,118,Drumline,57588485
241,0,en,Drama,2.592927,10/8/1997,102,Gang Related,5790448
242,70000000,en,Family,6.660309,6/13/2013,88,Legends of Oz: Dorothy's Return,18662027
243,0,ja,Animation,12.653798,8/1/2009,114,Summer Wars,80768
244,0,en,Romance,8.416802,11/2/1995,103,Home for the Holidays,17519169
245,0,en,Horror,2.738421,4/26/1979,96,Love at First Bite,43885000
246,19000000,en,Romance,9.106146,10/16/2008,109,Sex Drive,18755936
247,23000000,en,Fantasy,14.13488,7/29/1994,101,The Mask,351583407
248,18339750,de,War,7.69224,9/8/2004,156,Downfall,92180910
249,102000000,en,Thriller,9.646208,6/7/2001,99,Swordfish,147080413
250,7920000,en,Mystery,11.162277,10/6/1978,140,Death on the Nile,14560084
251,12560000,fr,Comedy,4.052991,2/7/2001,105,Would I Lie to You? 2,42700000
252,98000000,en,Adventure,7.284477,12/22/1995,119,Cutthroat Island,10017322
253,8500000,en,Horror,6.57613,2/27/2004,104,Club Dread,5001655
254,0,ru,Drama,0.241287,11/29/2012,95,Delhi Dance,30292
255,11178,en,Drama,0.079287,9/5/2012,104,Voracious,34659
256,9500000,en,Comedy,5.847166,9/6/2013,88,Bad Words,7800000
257,55000000,en,Drama,10.758754,9/10/2015,121,Everest,203427584
258,1000000,en,Romance,1.157582,11/15/1956,89,Love Me Tender,9000000
259,0,ja,Science Fiction,10.686166,11/18/1995,83,Ghost in the Shell,2287714
260,24554,en,Drama,0.154526,9/12/1998,95,The Terrorist,140021
261,0,en,Family,0.871303,9/2/1988,99,Rocket Gibraltar,187349
262,50000000,en,Comedy,11.511424,4/28/2006,99,RV,87528173
263,0,ja,Romance,6.972723,12/11/2010,133,Norwegian Wood,17636261
264,10000000,en,Science Fiction,2.849779,11/12/1987,99,Cherry 2000,14000
265,0,en,Thriller,2.799447,5/14/2004,108,Undertow,143597
266,15000000,en,Drama,10.271871,12/16/2002,135,25th Hour,13060843
267,15000000,en,Drama,15.423538,9/11/2007,148,Into the Wild,56255142
268,27000,en,Comedy,10.513367,9/13/1994,92,Clerks,3151130
269,40000000,en,Family,8.778999,7/21/2006,93,Stormbreaker,23937870
270,0,en,Music,0.498877,9/7/2007,119,Glass: A Portrait of Philip in Twelve Parts,20
271,21000000,en,Comedy,8.425361,3/25/2011,99,Diary of a Wimpy Kid: Rodrick Rules,72417394
272,72500000,en,Comedy,6.936688,8/4/2006,116,Talladega Nights: The Ballad of Ricky Bobby,162966177
273,12000000,en,Thriller,5.845712,10/5/1990,94,Marked for Death,46044400
274,50000000,en,Comedy,12.285545,6/4/2010,87,Marmaduke,83761844
275,65000000,en,Romance,10.237996,12/17/1998,119,You've Got Mail,250821495
276,0,en,Documentary,8.469808,5/24/2013,127,We Steal Secrets: The Story of WikiLeaks,602042
277,2915739,te,Thriller,0.558002,1/16/2009,132,Arundhati,14000000
278,70000000,en,Romance,18.324219,6/12/1998,98,Six Days Seven Nights,164000000
279,0,en,Drama,2.523707,9/23/2016,102,Goat,23020
280,65000000,en,Thriller,13.455112,8/4/2004,120,Collateral,217764291
281,0,en,Thriller,2.584025,10/22/1999,91,Bats,10
282,30000000,en,Thriller,14.811958,4/12/2012,95,The Cabin in the Woods,66486080
283,12000000,en,Romance,1.575026,10/30/1998,100,Living Out Loud,12902790
284,19000000,fr,Drama,4.249948,1/19/2008,130,Paris,23550000
285,7000000,en,Thriller,7.45279,9/20/2012,109,End of Watch,48126384
286,25000000,en,Adventure,3.596317,3/1/1996,95,Space Truckers,1614266
287,9000000,en,Thriller,28.920839,11/15/2016,117,Split,276921998
288,0,en,Romance,4.322726,10/14/1994,113,Exit to Eden,6841570
289,24000000,en,Drama,11.269558,1/31/2003,110,Biker Boyz,23510601
290,28000000,en,Fantasy,13.856199,3/30/1994,87,Thumbelina,11373501
291,6000000,en,Romance,8.990345,3/9/1994,117,Four Weddings and a Funeral,254700832
292,16000000,en,Thriller,12.153493,3/9/2007,99,The Lookout,5367030
293,65000000,en,War,10.543955,12/25/2014,137,Unbroken,163442937
294,0,pt,Thriller,1.791965,5/1/1997,110,Four Days in September,310724
295,160000000,en,Science Fiction,26.628178,11/18/2015,137,The Hunger Games: Mockingjay - Part 2,653428261
296,0,ru,Science Fiction,1.763116,4/23/2009,99,The Inhabited Island 2: Rebellion,5873871
297,60000000,en,Drama,4.924078,2/22/2002,104,Dragonfly,52322400
298,25000000,en,Drama,8.364587,2/28/2003,101,Cradle 2 the Grave,56489558
299,3000000,en,Comedy,1.739182,2/22/1991,89,Scenes from a Mall,9563393
300,9000000,en,Science Fiction,1.80809,11/21/1991,94,Highway to Hell,26055
301,11000000,en,Horror,15.750026,1/19/1990,96,Tremors,48572000
302,225000,en,Romance,1.533379,10/6/1933,87,I'm No Angel,2850000
303,0,en,Romance,2.36594,9/13/2005,105,Romance & Cigarettes,2945242
304,0,en,Thriller,5.385108,6/4/1993,107,Guilty as Sin,22886222
305,0,en,War,7.362552,1/22/1988,101,Braddock: Missing in Action III,6193901
306,100000000,en,Crime,14.922399,12/14/2002,167,Gangs of New York,193772504
307,100000000,en,Fantasy,12.36223,10/16/2009,101,Where the Wild Things Are,100086793
308,108000000,en,Drama,19.94393,12/25/2016,129,Live by Night,22678555
309,30000000,en,Drama,4.902869,6/15/2004,104,Mr. 3000,21800302
310,26000000,en,Comedy,7.867999,8/3/2003,97,Freaky Friday,110230332
311,15000000,en,Mystery,10.445867,3/25/2009,96,Chloe,8459458
312,9500000,fr,Romance,8.59498,5/18/2012,168,Laurence Anyways,12250
313,16000000,en,Drama,1.758079,9/3/2004,97,The Cookout,12
314,0,en,Comedy,5.339888,2/10/2001,89,Don's Plum,6297
315,175000000,en,Adventure,19.148182,6/15/2017,109,Cars 3,350170057
316,55000000,en,Mystery,11.672394,1/30/2008,141,Changeling,113020255
317,60000000,en,Comedy,10.271517,3/12/2012,88,The Pirates! In an Adventure with Scientists!,118338361
318,115000000,en,Thriller,15.232738,8/7/2013,109,Elysium,286140700
319,20000000,ja,Thriller,9.570657,6/17/2006,126,Death Note,27793200
320,12000000,en,Thriller,10.312017,2/8/1985,113,Witness,68706993
321,0,en,Thriller,1.506457,9/6/1986,96,Defence of the Realm,750000
322,85000000,en,Family,14.170183,3/15/2012,106,Mirror Mirror,183018522
323,135000000,en,Thriller,23.501228,12/25/2015,156,The Revenant,532950503
324,90000000,en,Crime,9.112008,2/5/1999,100,Payback,161626121
325,12000000,en,Romance,7.569698,8/7/1987,83,Nadine,5669831
326,71000000,en,Fantasy,9.439079,6/22/1998,85,Doctor Dolittle,294456605
327,26000000,en,Comedy,10.177303,9/20/1996,102,The First Wives Club,116400000
328,40000000,en,Drama,8.062578,7/27/2011,108,Colombiana,60965854
329,15000000,en,Romance,4.582024,12/22/2010,117,Country Strong,20529194
330,100000000,en,Comedy,15.088318,11/16/2006,108,Happy Feet,384335608
331,0,en,Adventure,1.895489,3/25/1982,100,Paradise,5588800
332,23000000,cn,History,10.861339,12/18/2009,139,Bodyguards and Assassins,5837674
333,5000000,en,Romance,6.226054,9/7/2007,97,Meet Bill,346592
334,0,en,Drama,2.870026,12/21/1949,132,Twelve O'Clock High,3225000
335,1,ta,Drama,0.43849,5/5/2003,140,Saamy,3
336,25000000,en,Drama,9.453942,5/9/2014,124,Million Dollar Arm,38307627
337,75000000,en,Crime,17.852022,5/29/2013,115,Now You See Me,117698894
338,0,ja,Fantasy,0.215013,11/13/2010,116,Ghost,9833553
339,30000000,en,Drama,9.783762,6/6/2005,118,Goal!: The Dream Begins,27610873
340,11000000,en,History,2.27258,1/27/1970,124,The Molly Maguires,2200000
341,0,en,Comedy,11.576578,9/26/2014,95,What We Did on Our Holiday,1289998
342,27000000,en,Crime,12.235391,10/3/1997,115,Kiss the Girls,60527873
343,0,en,Romance,0.767631,4/29/2005,88,The Mostly Unfabulous Social Life of Ethan Green,152810
344,0,en,Action,1.021685,6/10/1982,93,Attack Force Z,88000
345,60000000,en,Thriller,11.234862,1/15/2014,105,Jack Ryan: Shadow Recruit,50549107
346,0,en,Romance,3.611453,7/8/1988,113,Arthur 2: On the Rocks,14681192
347,36000000,en,Romance,14.575883,12/6/2016,97,Collateral Beauty,87416021
348,12,en,Adventure,1.410322,10/16/1996,84,The Wind in the Willows,1
349,1000000,ja,Fantasy,11.267366,3/11/1984,117,Nausicaä of the Valley of the Wind,3301446
350,350000,en,Documentary,2.96237,12/8/2004,85,Born into Brothels,3515061
351,110000000,en,Action,13.1984,9/29/2016,107,Deepwater Horizon,121790373
352,7200000,en,Thriller,12.00491,12/13/1971,120,Diamonds Are Forever,116019547
353,0,en,Comedy,7.093984,9/28/1984,96,The Wild Life,9500000
354,7000000,en,Comedy,2.483032,11/16/2001,93,The Wash,10229331
355,20500000,en,Crime,8.333526,12/5/2008,102,Punisher: War Zone,10089373
356,0,en,Documentary,0.519968,4/14/2017,99,Chasing Trane,393970
357,130000000,en,Mystery,8.946243,4/6/2005,124,Sahara,119269486
358,45000000,en,Drama,21.605761,6/23/1994,89,The Lion King,788241776
359,75000000,en,Science Fiction,7.970031,10/23/1998,99,Soldier,14567883
360,65000000,en,Drama,12.738789,12/26/2009,136,The Lovely Bones,93525586
361,0,en,Adventure,1.43679,11/2/2016,87,The Eagle Huntress,3162153
362,2200000,ta,Crime,1.132835,5/28/2010,154,Singam,9700000
